,UCL,,,,,,,,,,UNF,,,,,,,,,,Vanderbilt,,,,,,,,,,Zurich,,,,,,,,,,MEAN,STD,,,Average per center (dice),,,
Soft-Adap-Relu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UCL,UNF,Vanderbilt,Zurich
precision_class0,0.917437320045235,0.928000808129506,0.911829532200641,0.92648508324663,0.917345491578623,0.917802001432054,0.92266115150992,0.939664264317,0.921009597377136,0.90912283354048,0.932467887577996,0.925752047899038,0.899399263614146,0.884326308009998,0.938222314068236,0.926157192572712,0.893434244573891,0.888520714725395,0.9100453468087,0.912783131942875,0.862068452507521,0.82000042748886,0.832726554815012,0.855130620918131,0.849287708067752,0.854363258550528,0.840363257469103,0.82526968398099,0.845684781081414,0.854431679840218,0.679474016487227,0.690227567111086,0.704199171838833,0.686342290849803,0.716746871829979,0.713448837231719,0.707086942954392,0.652588808581792,0.702318563751973,0.726603345268351,0.843520734394873,0.091691922308017,,,,,,
recall_class0,0.849537180680543,0.846830989382584,0.875127303694349,0.84423077218144,0.8544070772103,0.856328610757151,0.864228394242521,0.801341560736109,0.839166482715429,0.870214754686667,0.75698781741898,0.749383758964116,0.683699562716935,0.826080450736547,0.699651950030392,0.693856908768216,0.663571068963734,0.803860291173231,0.59499907638157,0.704176419942792,0.835468261657243,0.876130669789301,0.859411135809537,0.839945116343879,0.84387499300899,0.865348563305516,0.85201919982509,0.829340186406035,0.866782990897365,0.834833314830486,0.913700039047547,0.914985591407684,0.926894378938909,0.931449472206579,0.922749623551626,0.925835963152178,0.921742331114465,0.89031612316723,0.909508972114637,0.897577325515316,0.833389867086831,0.081130650570454,,,,,,
rvd_class0,0.073920179613812,0.087885412435021,0.039680303050682,0.087511974912262,0.068171413587041,0.066804785335411,0.063070357684087,0.14709271952435,0.087695981853691,0.040684554534682,0.185684969910502,0.187112284492718,0.235777290068832,0.061494442247965,0.251728679475295,0.248368423425554,0.258210128061428,0.088420533539436,0.335987253939025,0.223009986276631,0.030391592481216,-0.069050278235187,-0.033905989935973,0.017660093745291,0.006271712795531,-0.013101564073619,-0.01377468727315,-0.005297844073749,-0.025201913069999,0.022249940550042,-0.356002498195353,-0.334953438971241,-0.323098343133872,-0.366227882072908,-0.295002677918241,-0.30587313197794,-0.31089258389213,-0.374069402153747,-0.301655571589668,-0.24118728644745,-0.011360251986843,0.202854663183678,,,,,,
specificity_class0,0.999614732036465,0.9996716859324,0.999571180047406,0.99965829311587,0.999611387340114,0.999614740568038,0.999634836692455,0.99974204656694,0.999634847578333,0.999554444332042,0.999967738845224,0.999964082340672,0.999954084596465,0.999936231086802,0.99997251454291,0.999967221378147,0.999955709986232,0.999938846041317,0.999960753926175,0.999958893881508,0.999916080500055,0.999879350816788,0.999890796079979,0.999910911403603,0.999906122290097,0.999907354601591,0.999898376915966,0.999889965805962,0.999900725561477,0.999910493540084,0.999888612554211,0.999894047836924,0.99989981297153,0.999890415363713,0.999906187695959,0.999904331757006,0.999901895082354,0.999878152943357,0.999901064346728,0.999913201669712,0.999846804264315,0.000131378376894,,,,,,
vol_gt_class0,190.874988460541,190.874988460541,190.874988460541,190.874988460541,190.874988460541,190.874988460541,190.874988460541,190.874988460541,190.874988460541,190.874988460541,1248.46161756149,1248.46161756149,1248.46161756149,1248.46161756149,1248.46161756149,1248.46161756149,1248.46161756149,1248.46161756149,1248.46161756149,1248.46161756149,1024.24663813561,1024.24663813561,1024.24663813561,1024.24663813561,1024.24663813561,1024.24663813561,1024.24663813561,1024.24663813561,1024.24663813561,1024.24663813561,552.74218788743,552.74218788743,552.74218788743,552.74218788743,552.74218788743,552.74218788743,552.74218788743,552.74218788743,552.74218788743,552.74218788743,754.081358011268,416.068286969965,,,,,,
vol_pred_class0,176.624992120266,173.87499114275,183.124990522861,173.874991035461,177.624990808964,177.874991357327,178.624989378452,162.499992716312,173.874991559982,182.749991607666,1039.18275874395,1038.89429681118,970.528915001796,1195.0962327627,950.769299296232,958.269294436161,947.163526195746,1158.46161458125,850.384669670692,997.788528378193,992.176718772948,1093.62232328057,1060.42050097287,1004.63081784099,1017.08268087804,1037.13704305738,1038.13854104131,1028.38267908692,1048.80995354056,1000.39041235298,748.320311996341,737.062499657273,730.585937148333,753.640624493361,714.382812024653,720.117187071592,723.03124955371,759.28125013411,718.328124471009,685.617187256366,736.961197568982,353.553428547804,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hard-Adap-Relu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avd_class0,0.087730537236773,0.109236395627633,0.105271063457025,0.122852821617859,0.10270395466908,0.113253843846052,0.069710816250382,0.124116513073582,0.10882275658967,0.108852346820121,0.159709403670358,0.120189839906307,0.220343762442826,0.145210582828768,0.241343359739986,0.164535163011754,0.228317618429581,0.174354166475969,0.2082304298268,0.209335061669018,0.063390698705904,0.048525844438156,0.038841591614685,0.05192267258128,0.051614630923969,0.047679508087033,0.04759621983639,0.055613847124225,0.043430709539767,0.061469252561343,0.353363255781876,0.403193931209461,0.338941523435534,0.451225793186694,0.38655457458595,0.383196483677694,0.477445234537061,0.328735930428927,0.428476817359076,0.443716870450702,0.185726395681382,0.138044774953062,,,,,,
dice_class0,0.886010358565984,0.891794966893978,0.89186894065661,0.885367536830878,0.890380382512393,0.890346087776581,0.898719171984203,0.868713123121285,0.887299195255136,0.891183673862596,0.853053557115653,0.866613923339716,0.795706698711655,0.849384310532646,0.786118643162757,0.850018785871748,0.785434469065031,0.835250617392395,0.803181417650805,0.807857628730966,0.860124598079303,0.867922396622128,0.868352894784541,0.866600989146675,0.86831971005288,0.874149369331111,0.869205436156339,0.859712031892712,0.870459253598102,0.859490382864962,0.781383078318941,0.773027838332005,0.786893652795004,0.769210020272517,0.770669133280927,0.768804556904632,0.75677053600927,0.757100297057775,0.758139421899311,0.769975402576081,0.836765362225206,0.048805961566586,,Hard-Adap-Relu,0.888168343745964,0.823262005157337,0.866433706252875,0.769197393744646
